store_id,timezone_str
4.68593E+18,America/Denver
4.68593E+18,America/Denver
4.68593E+18,America/Denver
4.68593E+18,America/Denver
4.68593E+18,America/Denver
4.68593E+18,America/Denver
4.68593E+18,America/Denver
1.03184E+18,America/Denver
7.83578E+18,America/Denver
7.83578E+18,America/Denver
7.83578E+18,America/Denver
7.83578E+18,America/Denver
7.83578E+18,America/Denver
7.83578E+18,America/Denver
7.83578E+18,America/Denver
5.30865E+18,America/Denver
5.30865E+18,America/Denver
5.30865E+18,America/Denver
5.30865E+18,America/Denver
5.30865E+18,America/Denver
5.30865E+18,America/Denver
5.30865E+18,America/Denver
6.79371E+18,America/Denver
6.79371E+18,America/Denver
6.79371E+18,America/Denver
6.79371E+18,America/Denver
6.79371E+18,America/Denver
6.79371E+18,America/Denver
6.79371E+18,America/Denver
4.93203E+18,America/Denver
4.93203E+18,America/Denver
5.04331E+17,America/Denver
5.04331E+17,America/Denver
5.04331E+17,America/Denver
5.04331E+17,America/Denver
5.04331E+17,America/Denver
5.73237E+18,America/Denver
5.73237E+18,America/Denver
5.73237E+18,America/Denver
5.73237E+18,America/Denver
5.73237E+18,America/Denver
5.73237E+18,America/Denver
5.73237E+18,America/Denver
7.01087E+18,America/Denver
7.01087E+18,America/Denver
7.01087E+18,America/Denver
7.01087E+18,America/Denver
7.01087E+18,America/Denver
7.01087E+18,America/Denver
7.01087E+18,America/Denver
4.36426E+18,America/Denver
4.36426E+18,America/Denver
4.36426E+18,America/Denver
4.36426E+18,America/Denver
4.36426E+18,America/Denver
4.36426E+18,America/Denver
4.36426E+18,America/Denver
4.37935E+18,America/Denver
4.37935E+18,America/Denver
4.37935E+18,America/Denver
4.37935E+18,America/Denver
4.37935E+18,America/Denver
4.37935E+18,America/Denver
4.37935E+18,America/Denver
3.78275E+17,America/Denver
3.78275E+17,America/Denver
3.78275E+17,America/Denver
3.78275E+17,America/Denver
3.78275E+17,America/Denver
8.11636E+18,America/Denver
8.11636E+18,America/Denver
8.11636E+18,America/Denver
8.11636E+18,America/Denver
8.11636E+18,America/Denver
8.11636E+18,America/Denver
8.11636E+18,America/Denver
3.22287E+18,America/Denver
3.22287E+18,America/Denver
3.22287E+18,America/Denver
3.22287E+18,America/Denver
3.22287E+18,America/Denver
3.22287E+18,America/Denver
3.22287E+18,America/Denver
6.52814E+18,America/Denver
6.52814E+18,America/Denver
7.45189E+17,America/Denver
7.45189E+17,America/Denver
7.45189E+17,America/Denver
7.45189E+17,America/Denver
7.45189E+17,America/Denver
7.45189E+17,America/Denver
7.45189E+17,America/Denver
1.4724E+18,America/Denver
1.4724E+18,America/Denver
